table_name,column_name,data_type,is_nullable,column_default
propiedades,id,uuid,NO,uuid_generate_v4()
propiedades,nombre,text,NO,null
propiedades,tipo,text,NO,null
propiedades,operacion,text,NO,null
propiedades,estado,text,NO,'Disponible'::text
propiedades,distrito,text,NO,null
propiedades,direccion,text,YES,null
propiedades,maps_url,text,YES,null
propiedades,precio,numeric,NO,null
propiedades,moneda,text,NO,'PEN'::text
propiedades,mantenimiento,numeric,YES,null
propiedades,dormitorios,integer,YES,null
propiedades,ambientes,integer,YES,null
propiedades,banos,integer,YES,null
propiedades,area_m2,numeric,YES,null
propiedades,cochera,boolean,YES,false
propiedades,ascensor,boolean,YES,false
propiedades,amoblado,boolean,YES,false
propiedades,area_servicio,boolean,YES,false
propiedades,mascotas,text,YES,'No'::text
propiedades,fotos_urls,ARRAY,YES,'{}'::text[]
propiedades,video_url,text,YES,null
propiedades,tour360_url,text,YES,null
propiedades,frase_destacada,text,YES,null
propiedades,created_at,timestamp with time zone,YES,now()
propiedades,updated_at,timestamp with time zone,YES,now()
propiedades,piso,integer,YES,null
propiedades,antiguedad,character varying,YES,null
propiedades,user_id,uuid,YES,null
